recipient_id,recipient,france,germany,japan,uk,us,dac,eu,multilateral,non_dac,un,wb,recipient_pop,code,sdg_index,total_pop,china,totaloda,suits_suits_germany_index
640,Sri Lanka,202.06653,230.15567,1457.9714,124.301506,523.60254,3295.068,432.4382,4112.178,340.2709,245.83066,1893.5829,22410552.0,LKA,67.28889,6.370478e+09,3232.101,10979.618,0.0038111447
451,Paraguay,86.583595,51.156315,251.13979,6.654143,201.99287,958.1258,375.6777,1063.3245,22.058279,61.56895,0.0,6515058.0,PRY,67.333336,6.370478e+09,56.11378,2099.6223,0.0011103108
615,Tajikistan,5.131146,256.311,211.13177,52.300533,423.32693,1247.4417,424.0845,3520.3296,394.8648,191.04515,937.31256,9529966.0,TJK,67.36667,6.370478e+09,1688.0585,6850.6943,0.0016278881
342,El Salvador,122.490715,148.55626,232.06062,5.068062,1252.1554,2421.8926,205.6135,1109.3563,3.303469,112.83391,0.0,6222318.0,SLV,67.577774,6.370478e+09,95.98982,3630.5422,0.0010661242
751,Malaysia,53.860786,131.69481,232.16219,108.44352,79.51803,662.17773,22.39756,161.5297,55.244583,82.01752,0.0,33440596.0,MYS,67.94444,6.370478e+09,21.099764,900.05176,0.0057417275
738,Indonesia,2237.292,6125.5977,5755.3315,336.48413,2267.9146,21225.715,268.98346,2407.105,260.29346,270.29105,0.0,272489381.0,IDN,67.977776,6.370478e+09,2436.7917,26329.904,0.048980005
352,Belize,0.080653004,0.485685,8.571928,11.541017,39.5084,78.07412,88.41176,371.20752,40.778175,25.624357,0.0,385829.0,BLZ,68.37778,6.370478e+09,0.0,490.0598,7.2404306e-05
366,Panama,52.719685,10.452292,429.87466,14.187773,199.92534,740.8022,87.52416,596.40576,3.8316998,87.72977,0.0,4234700.0,PAN,68.13333,6.370478e+09,93.64044,1434.68,0.0007946202
540,Iran,120.10653,902.64166,161.44815,14.97012,13.911972,1565.0055,197.65416,382.2963,96.679,119.273056,0.0,87051648.0,IRN,68.6,6.370478e+09,47.352333,2091.333,0.016437184
630,Bhutan,0.22233,15.255003,226.43126,2.865524,5.78715,367.0985,90.38943,1084.0846,14.67466,78.94104,360.33398,764824.0,BTN,68.67778,6.370478e+09,0.0,1465.8578,0.00014531812
